City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,81.25,overcast clouds,3.07,172.79,Isles Sunset Lodge
7,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
9,Vila Velha,BR,79.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
11,Gouyave,GD,86.0,broken clouds,12.16,-61.73,Rumboat Retreat
16,Zacualpan,MX,80.6,clear sky,21.25,-105.17,La Colorada B&B
24,Sao Joao Da Barra,BR,75.2,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
32,Sinnamary,GF,81.84,moderate rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
39,Salalah,OM,78.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
40,San Andres,CO,78.8,light intensity drizzle,12.58,-81.7,Hotel Arena Blanca
46,Axim,GH,79.83,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
51,Cayenne,GF,78.8,moderate rain,4.93,-52.33,Hôtel Le Dronmi
58,Castro,BR,75.65,clear sky,-24.79,-50.01,CHACARA BAILLY
62,Tautira,PF,80.6,few clouds,-17.73,-149.15,Pension Oaoa
80,Georgetown,MY,78.8,light rain,5.41,100.34,Cititel Penang
82,Acarau,BR,87.42,scattered clouds,-2.89,-40.12,castelo pizzaria
84,Quelimane,MZ,84.2,clear sky,-17.88,36.89,Hotel Flamingo
88,Upata,VE,85.1,light rain,8.01,-62.4,Posada Villa Nela
89,Faanui,PF,79.88,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
92,Natal,BR,86.0,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
101,Saint Pete Beach,US,84.0,overcast clouds,27.73,-82.74,TradeWinds Island Grand Resort
107,Cockburn Town,TC,81.28,light rain,21.46,-71.14,Osprey Beach Hotel
108,Itarema,BR,86.54,scattered clouds,-2.92,-39.92,Windvillage
110,Bubaque,GW,84.24,few clouds,11.28,-15.83,"Casa Dora, Bubaque"
114,Kismayo,SO,80.31,broken clouds,-0.36,42.55,Agan-Hotel
115,Isangel,VU,76.69,clear sky,-19.55,169.27,Volcano Sea View Tree House
116,Sao Filipe,CV,77.92,broken clouds,14.9,-24.5,Tortuga B&B
117,San Ignacio,BZ,78.8,light rain,17.16,-89.07,Rainforest Haven Inn
123,Porto Novo,BJ,86.0,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
126,Mapiripan,CO,87.21,light rain,2.89,-72.13,Monserrate
136,Cabo San Lucas,MX,84.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
137,Neiafu,TO,75.2,broken clouds,-18.65,-173.98,Mystic Sands
138,Chongwe,ZM,79.38,clear sky,-15.33,28.68,Farm KS
146,Vicksburg,US,75.2,clear sky,32.35,-90.88,La Quinta Inn & Suites by Wyndham Vicksburg
148,Victoria,HK,77.0,scattered clouds,22.29,114.16,Mini Hotel Central
158,Kahului,US,75.2,broken clouds,20.89,-156.47,Maui Seaside Hotel
160,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
164,Meteti,PA,83.53,scattered clouds,8.5,-77.98,Txai Mauá
170,Luanda,AO,82.4,few clouds,-8.84,13.23,EPIC SANA Luanda
173,Saint-Georges,GD,86.0,broken clouds,12.06,-61.75,Siesta Hotel
174,Boke,GN,86.4,scattered clouds,10.94,-14.3,Hôtel Rio Nunez - Boké
175,Cunha,BR,82.4,few clouds,-23.07,-44.96,Pousada Calu
178,Olinda,BR,86.0,broken clouds,-8.01,-34.86,Hotel 5 Sóis
183,Atuona,PF,77.99,broken clouds,-9.8,-139.03,Villa Enata
187,Toamasina,MG,77.0,shower rain,-18.17,49.38,Hotel H1
195,Buraydah,SA,77.0,few clouds,26.33,43.98,Mövenpick Hotel Qassim
202,Tamandare,BR,82.58,overcast clouds,-8.76,-35.1,Pousada 100 Passos
205,Buchanan,LR,82.4,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
211,Trussville,US,77.0,few clouds,33.62,-86.61,Courtyard by Marriott Birmingham Trussville
215,Guerrero Negro,MX,80.96,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
220,Hithadhoo,MV,84.0,clear sky,-0.6,73.08,Scoop Guest House
225,Tarakan,ID,81.41,moderate rain,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
230,Miranda,CO,80.6,scattered clouds,3.25,-76.23,Parqueadero toño lasso
238,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
239,Bengkulu,ID,76.17,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
249,Sola,VU,78.66,overcast clouds,-13.88,167.55,Ulkel Guest House
254,Russell,US,75.2,clear sky,32.35,-85.2,Macs
257,Hirara,JP,78.93,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
260,Nabire,ID,75.61,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
262,Singkang,MY,78.8,few clouds,2.1,102.8,Kampung Seri Makmor Pagoh
265,Nanakuli,US,75.2,clear sky,21.39,-158.15,Camp Pālehua
271,Samarai,PG,80.49,few clouds,-10.62,150.67,Nuli Sapi
277,Long Xuyen,VN,78.8,scattered clouds,10.38,105.42,Nhà nghĩ Vy Linh
279,Meulaboh,ID,77.65,moderate rain,4.14,96.13,Kost Pria
