City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.52,-28.7,60.8,77,40,13.87,scattered clouds
1,Butaritari,KI,3.07,172.79,81.25,76,94,15.84,overcast clouds
2,Virginia Beach,US,36.85,-75.98,72.0,73,75,4.7,broken clouds
3,Nakhon Thai,TH,17.1,100.84,72.1,86,0,3.0,clear sky
4,Dubuque,US,42.48,-90.87,71.01,44,7,8.01,clear sky
5,Lincoln,US,40.8,-96.67,73.0,35,1,9.17,clear sky
6,Saint-Philippe,RE,-21.36,55.77,73.4,73,0,14.99,clear sky
7,Puerto Ayora,EC,-0.74,-90.35,75.2,73,75,12.75,broken clouds
8,Avarua,CK,-21.21,-159.78,73.4,88,98,8.77,overcast clouds
9,Vila Velha,BR,-20.33,-40.29,79.0,74,40,16.11,scattered clouds
10,Ushuaia,AR,-54.8,-68.3,55.4,41,20,4.7,few clouds
11,Gouyave,GD,12.16,-61.73,86.0,79,75,19.46,broken clouds
12,Upernavik,GL,72.79,-56.15,1.53,80,14,6.71,few clouds
13,Dawan,CN,24.34,112.95,63.84,73,6,5.97,clear sky
14,Punta Arenas,CL,-53.15,-70.92,55.4,51,40,25.28,scattered clouds
15,Dali,CN,25.7,100.18,50.86,78,0,2.04,clear sky
16,Zacualpan,MX,21.25,-105.17,80.6,42,5,11.41,clear sky
17,Nikolskoye,RU,59.7,30.79,46.4,65,20,11.18,few clouds
18,Rikitea,PF,-23.12,-134.97,71.56,82,51,19.22,broken clouds
19,Mataura,NZ,-46.19,168.86,39.7,93,6,3.02,clear sky
20,Albany,US,42.6,-73.97,72.0,29,7,5.59,clear sky
21,Barrow,US,71.29,-156.79,21.2,85,90,9.17,overcast clouds
22,Athabasca,CA,54.72,-113.29,21.2,73,56,5.82,broken clouds
23,Chuy,UY,-33.7,-53.46,70.02,68,45,14.97,scattered clouds
24,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,69,90,10.29,overcast clouds
25,Bluff,NZ,-46.6,168.33,45.97,83,19,12.28,few clouds
26,Thunder Bay,CA,48.4,-89.32,64.4,42,75,10.29,broken clouds
27,Gull Lake,CA,50.1,-108.48,35.6,65,1,6.93,clear sky
28,Ancud,CL,-41.87,-73.82,59.0,54,0,10.29,clear sky
29,Yellowknife,CA,62.46,-114.35,10.99,92,20,3.36,few clouds
30,Jamestown,US,42.1,-79.24,66.0,51,1,12.75,clear sky
31,Japura,ID,-0.32,102.35,74.64,96,75,2.24,light rain
32,Sinnamary,GF,5.38,-52.95,81.84,83,38,7.83,moderate rain
33,Goderich,CA,43.75,-81.72,59.0,62,100,13.87,overcast clouds
34,Carnarvon,AU,-24.87,113.63,69.8,100,40,12.75,scattered clouds
35,Susanville,US,40.42,-120.65,48.2,47,40,20.8,scattered clouds
36,Tiksi,RU,71.69,128.87,1.6,94,100,2.37,overcast clouds
37,Norman Wells,CA,65.28,-126.83,-0.4,77,75,4.7,broken clouds
38,Kamiiso,JP,41.82,140.65,56.37,73,66,12.24,broken clouds
39,Salalah,OM,17.02,54.09,78.8,61,0,2.24,clear sky
40,San Andres,CO,12.58,-81.7,78.8,94,75,11.41,light intensity drizzle
41,Los Llanos De Aridane,ES,28.66,-17.92,73.4,56,40,6.93,scattered clouds
