City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2020-11-04 19:29:54,-21.2,-175.2,75.2,83,20,11.41
1,Elmina,GH,2020-11-04 19:29:54,5.09,-1.35,80.53,81,0,6.91
2,Kodiak,US,2020-11-04 19:29:54,57.79,-152.41,30.2,50,20,8.05
3,Georgetown,MY,2020-11-04 19:28:09,5.41,100.34,80.01,94,20,5.82
4,Rikitea,PF,2020-11-04 19:29:54,-23.12,-134.97,73.36,76,0,16.11
5,Saskylakh,RU,2020-11-04 19:29:54,71.92,114.08,-3.53,91,97,5.26
6,Maniitsoq,GL,2020-11-04 19:29:54,65.42,-52.9,28.31,96,100,26.15
7,Santa Maria Del Oro,MX,2020-11-04 19:29:55,25.93,-105.37,72.09,24,0,5.28
8,Atuona,PF,2020-11-04 19:29:55,-9.8,-139.03,78.75,77,14,21.52
9,Bayeux,BR,2020-11-04 19:29:55,-7.12,-34.93,82.4,74,0,13.87
10,Tasiilaq,GL,2020-11-04 19:29:55,65.61,-37.64,33.8,50,40,9.17
11,Carauari,BR,2020-11-04 19:29:55,-4.88,-66.9,97.0,40,69,3.65
12,Hithadhoo,MV,2020-11-04 19:29:55,-0.6,73.08,83.39,70,40,4.36
13,Ushuaia,AR,2020-11-04 19:29:56,-54.8,-68.3,64.4,36,0,5.82
14,Bluff,NZ,2020-11-04 19:29:56,-46.6,168.33,60.01,92,79,10.0
15,New Norfolk,AU,2020-11-04 19:29:46,-42.78,147.06,45.0,66,0,1.01
16,Bengkulu,ID,2020-11-04 19:29:56,-3.8,102.27,75.49,87,100,4.76
17,Tiznit,MA,2020-11-04 19:29:56,29.58,-9.5,64.85,56,100,10.58
18,Busselton,AU,2020-11-04 19:29:56,-33.65,115.33,52.0,77,100,3.0
19,Puerto Ayora,EC,2020-11-04 19:29:56,-0.74,-90.35,80.6,65,40,14.99
20,Mar Del Plata,AR,2020-11-04 19:29:56,-38.0,-57.56,69.8,49,0,19.46
21,Arraial Do Cabo,BR,2020-11-04 19:29:57,-22.97,-42.03,75.2,73,75,6.93
22,Tuktoyaktuk,CA,2020-11-04 19:29:57,69.45,-133.04,10.4,85,90,11.41
23,Mataura,NZ,2020-11-04 19:26:30,-46.19,168.86,60.01,92,100,10.0
24,Yar-Sale,RU,2020-11-04 19:29:57,66.83,70.83,21.76,98,100,10.4
25,Cabo San Lucas,MX,2020-11-04 19:29:57,22.89,-109.91,88.0,58,5,3.36
26,Oga,IT,2020-11-04 19:29:57,46.46,10.35,48.99,93,90,8.05
27,Kapaa,US,2020-11-04 19:29:57,22.08,-159.32,82.0,88,75,11.7
28,Nikolskoye,RU,2020-11-04 19:26:34,59.7,30.79,46.4,81,75,8.95
29,Jimenez,MX,2020-11-04 19:29:58,28.33,-105.4,77.0,17,5,6.93
30,Paamiut,GL,2020-11-04 19:26:38,61.99,-49.67,31.6,91,100,14.85
31,Chuy,UY,2020-11-04 19:29:58,-33.7,-53.46,63.93,54,0,11.21
32,Santa Maria Do Para,BR,2020-11-04 19:29:58,-1.35,-47.58,88.63,58,100,5.06
33,Forio,IT,2020-11-04 19:29:58,40.73,13.86,62.6,72,5,3.38
34,Lagoa,PT,2020-11-04 19:29:58,39.05,-27.98,60.82,73,4,18.16
35,Aketi,CD,2020-11-04 19:29:58,2.74,23.78,76.57,78,14,3.18
36,Khatanga,RU,2020-11-04 19:29:58,71.97,102.5,-5.98,91,18,8.46
37,Bireun,ID,2020-11-04 19:29:59,5.2,96.7,78.55,81,99,3.67
38,Viedma,AR,2020-11-04 19:27:43,-40.81,-63.0,88.63,23,100,21.05
39,Punta Arenas,CL,2020-11-04 19:29:59,-53.15,-70.92,46.4,81,90,8.05
40,Hambantota,LK,2020-11-04 19:29:59,6.12,81.12,75.2,100,20,1.12
41,Veraval,IN,2020-11-04 19:27:39,20.9,70.37,80.47,58,0,2.64
42,Rio Grande,BR,2020-11-04 19:28:13,-32.03,-52.1,69.8,49,75,18.34
43,Bilibino,RU,2020-11-04 19:29:59,68.05,166.44,4.62,91,100,5.61
44,Carnarvon,AU,2020-11-04 19:30:00,-24.87,113.63,69.8,94,0,14.99
45,Sinnamary,GF,2020-11-04 19:30:00,5.38,-52.95,83.66,72,78,11.54
46,Flin Flon,CA,2020-11-04 19:27:05,54.77,-101.86,35.6,95,90,3.36
47,Alexandria,EG,2020-11-04 19:30:00,31.22,29.96,73.4,60,40,12.75
48,Muros,ES,2020-11-04 19:30:01,42.78,-9.06,54.0,66,79,8.99
49,Butaritari,KI,2020-11-04 19:26:31,3.07,172.79,80.58,73,100,12.39
50,Nanortalik,GL,2020-11-04 19:27:25,60.14,-45.24,33.08,89,100,7.38
51,Mokhsogollokh,RU,2020-11-04 19:30:02,61.47,128.92,7.77,93,100,8.97
52,Hami,CN,2020-11-04 19:30:03,42.8,93.45,42.24,56,100,4.68
53,Roswell,US,2020-11-04 19:28:35,34.02,-84.36,70.0,32,1,5.75
54,Pisco,PE,2020-11-04 19:30:05,-13.7,-76.22,66.99,77,0,11.41
55,Opuwo,NA,2020-11-04 19:30:05,-18.06,13.84,71.82,23,0,11.01
56,Jamestown,US,2020-11-04 19:30:06,42.1,-79.24,64.4,36,1,16.11
57,Leningradskiy,RU,2020-11-04 19:30:06,69.38,178.42,4.87,80,57,7.99
58,Alpena,US,2020-11-04 19:30:06,45.06,-83.43,75.2,31,1,11.41
59,Safaga,EG,2020-11-04 19:30:06,26.73,33.94,75.2,38,0,9.17
60,Belmonte,BR,2020-11-04 19:30:07,-15.86,-38.88,71.6,88,90,3.36
61,Los Llanos De Aridane,ES,2020-11-04 19:30:07,28.66,-17.92,64.4,88,75,11.41
62,Chokurdakh,RU,2020-11-04 19:26:38,70.63,147.92,-14.19,84,0,5.84
63,Irondequoit,US,2020-11-04 19:29:48,43.21,-77.58,71.6,30,1,14.99
64,Krasnoselkup,RU,2020-11-04 19:30:07,65.7,82.47,6.17,95,79,9.91
65,Kajaani,FI,2020-11-04 19:30:08,64.23,27.73,41.0,86,75,9.17
66,Thompson,CA,2020-11-04 19:26:31,55.74,-97.86,26.6,100,90,3.36
67,Yellowknife,CA,2020-11-04 19:26:59,62.46,-114.35,1.0,84,75,3.36
68,Avarua,CK,2020-11-04 19:26:30,-21.21,-159.78,71.6,88,95,9.17
69,Luderitz,NA,2020-11-04 19:30:08,-26.65,15.16,63.88,81,96,12.3
70,Ilulissat,GL,2020-11-04 19:30:08,69.22,-51.1,28.4,74,75,10.29
71,Sangre Grande,TT,2020-11-04 19:30:08,10.58,-61.12,87.8,55,20,12.75
72,Te Anau,NZ,2020-11-04 19:30:09,-45.42,167.72,59.88,88,82,3.62
73,Praia Da Vitoria,PT,2020-11-04 19:30:09,38.73,-27.07,59.0,72,75,18.05
74,Evensk,RU,2020-11-04 19:26:55,61.95,159.23,31.26,98,100,8.34
75,Sioux Lookout,CA,2020-11-04 19:30:09,50.1,-91.92,55.4,50,20,4.7
76,Yairipok,IN,2020-11-04 19:30:09,24.67,94.07,61.48,95,9,1.34
77,Kerman,IR,2020-11-04 19:30:09,30.28,57.08,46.4,15,0,4.7
78,Geraldton,AU,2020-11-04 19:26:53,-28.77,114.6,60.8,77,0,8.05
79,Cozumel,MX,2020-11-04 19:30:10,20.51,-86.95,84.2,70,90,17.22
80,Mount Isa,AU,2020-11-04 19:30:10,-20.73,139.5,75.2,44,0,8.61
81,Graaff-Reinet,ZA,2020-11-04 19:30:11,-32.25,24.53,66.99,72,100,5.99
82,The Valley,AI,2020-11-04 19:30:11,18.22,-63.06,86.0,70,40,16.11
83,Orchard Homes,US,2020-11-04 19:30:11,46.86,-114.05,60.01,61,90,3.04
84,Aklavik,CA,2020-11-04 19:30:11,68.22,-135.01,5.0,84,90,6.93
85,Pitimbu,BR,2020-11-04 19:30:12,-7.47,-34.81,82.4,74,0,13.87
86,Sumbe,AO,2020-11-04 19:30:12,-11.21,13.84,77.36,81,92,6.82
87,Iqaluit,CA,2020-11-04 19:30:12,63.75,-68.51,6.8,71,40,5.82
88,Reo,BF,2020-11-04 19:30:12,12.32,-2.47,86.72,26,0,5.39
89,Ancud,CL,2020-11-04 19:30:12,-41.87,-73.82,57.99,87,75,18.34
90,Bethel,US,2020-11-04 19:30:13,41.37,-73.41,62.01,38,1,9.17
91,Sao Felix Do Xingu,BR,2020-11-04 19:30:13,-6.64,-51.99,81.27,85,100,3.65
92,Torbay,CA,2020-11-04 19:26:25,47.67,-52.73,30.0,58,75,18.34
93,Albany,US,2020-11-04 19:30:06,42.6,-73.97,59.0,42,2,1.99
94,Homer,US,2020-11-04 19:30:13,59.64,-151.55,21.0,48,1,3.36
95,Bathsheba,BB,2020-11-04 19:30:14,13.22,-59.52,86.0,66,20,17.22
96,Broken Hill,AU,2020-11-04 19:28:13,-31.95,141.43,48.2,76,0,19.46
97,Limon,CR,2020-11-04 19:30:14,10.0,-83.03,86.0,70,75,5.82
98,Kirakira,SB,2020-11-04 19:30:14,-10.45,161.92,80.82,80,100,5.73
99,Port Shepstone,ZA,2020-11-04 19:30:14,-30.74,30.45,71.37,84,100,4.7
100,Jardim,BR,2020-11-04 19:30:15,-21.48,-56.14,90.03,25,0,2.35
101,Longyearbyen,SJ,2020-11-04 19:30:15,78.22,15.64,32.0,94,75,18.34
102,Cape Town,ZA,2020-11-04 19:30:15,-33.93,18.42,70.0,68,20,17.22
103,Pevek,RU,2020-11-04 19:27:14,69.7,170.31,2.28,86,95,3.24
104,Tiksi,RU,2020-11-04 19:30:16,71.69,128.87,0.82,94,100,4.74
105,Salalah,OM,2020-11-04 19:30:16,17.02,54.09,75.2,64,0,2.24
106,Mahibadhoo,MV,2020-11-04 19:30:16,3.78,72.97,82.53,74,40,3.74
